Problem type,Algorithm,Dimension,Iterations,Residue,Abs. error
RandMatr,Gauss,3,1,6.280369834735101e-16,6.661338147750939e-16
RandMatr,Gauss,4,1,4.5288390936029406e-15,9.805224261780596e-16
RandMatr,Gauss,5,1,1.5131651520584218e-14,4.3723621762115566e-15
RandMatr,Gauss,6,1,3.871479975306501e-15,3.3306690738754696e-15
RandMatr,Gauss,7,1,1.0630349226291202e-14,8.715073954408565e-15
RandMatr,Gauss,8,1,1.1574041751602725e-14,6.416282295162952e-15
RandMatr,Gauss,9,1,2.5937433194782287e-14,2.2089144724532517e-13
RandMatr,Gauss,10,1,3.164075628614457e-13,1.1181075868990874e-13
RandMatr,Gauss,11,1,4.589178014914008e-13,6.494899584220791e-14
RandMatr,Gauss,12,1,1.0532032284198028e-13,1.3714863227721061e-13
RandMatr,Gauss,13,1,5.675918767041098e-13,1.0670810275850649e-11
RandMatr,Gauss,14,1,7.366126880075054e-14,9.545981379861943e-15
RandMatr,Gauss,15,1,1.573887495981568e-13,2.3694094613064132e-14
RandMatr,Gauss,16,1,2.2337643111357885e-13,2.913843727963197e-14
RandMatr,Gauss,17,1,4.3861538192449916e-14,2.8810875751479083e-14
RandMatr,Gauss,18,1,2.8334048772187505e-13,5.218083648267658e-14
RandMatr,Gauss,19,1,2.117020354733219e-13,8.27697139872849e-14
RandMatr,Gauss,20,1,4.484608450664365e-13,1.4393115585027391e-13
RandMatr,Gauss,21,1,1.4798689893927939e-12,4.0453873241349566e-13
RandMatr,Gauss,22,1,1.0346764919923567e-12,6.881290470095026e-13
RandMatr,Gauss,23,1,2.257621527301741e-13,2.9592598508019395e-14
RandMatr,Gauss,24,1,4.380476629308887e-12,6.393905873780337e-13
RandMatr,Gauss,25,1,1.8523639681001043e-12,1.849191682472675e-13
RandMatr,Gauss,26,1,4.1837163411631264e-13,2.1219748752897877e-13
RandMatr,Gauss,27,1,9.823209153779493e-13,1.8096321984204528e-13
RandMatr,Gauss,28,1,4.1126215550257334e-13,1.3527250921967785e-13
RandMatr,Gauss,29,1,8.617403252959573e-11,2.396458211174383e-09
RandMatr,Gauss,30,1,1.6174303024073574e-12,2.928981524428664e-09
RandMatr,Gauss,31,1,7.260907471439137e-13,9.385029848554281e-14
RandMatr,Gauss,32,1,1.3194434501183578e-12,2.286756794088834e-13
RandMatr,Gauss,33,1,1.8003290414260557e-11,7.37230415893566e-12
RandMatr,Gauss,34,1,3.9145204357772573e-13,3.2063781065513695e-13
RandMatr,Gauss,35,1,1.8231559049827958e-11,1.1579998752130134e-12
RandMatr,Gauss,36,1,1.4900095701844554e-12,1.2749373127884353e-13
RandMatr,Gauss,37,1,1.6833805879813773e-12,7.471449981736001e-13
RandMatr,Gauss,38,1,2.756573693559025e-12,1.718269747513578e-12
RandMatr,Gauss,39,1,5.1592158097430594e-12,1.0736113018178397e-12
RandMatr,Gauss,40,1,3.3728330785006914e-12,1.90653929370484e-12
RandMatr,Gauss,41,1,2.8044729448039587e-11,2.8911362613517776e-12
RandMatr,Gauss,42,1,6.799812135136623e-13,3.808887324645897e-12
RandMatr,Gauss,43,1,2.0792366651048236e-11,9.236520065575683e-12
RandMatr,Gauss,44,1,1.891335382986912e-12,2.5047239196536577e-13
RandMatr,Gauss,45,1,4.029661623851012e-12,5.119230902452289e-13
RandMatr,Gauss,46,1,8.467100515172707e-12,2.9165874362238222e-12
RandMatr,Gauss,47,1,1.2454900636607267e-11,1.7280799662141207e-12
RandMatr,Gauss,48,1,4.290772646418615e-12,1.4135390854084869e-12
RandMatr,Gauss,49,1,5.119308207068158e-12,7.44189742284228e-12
RandMatr,Gauss,50,1,4.8202382297180213e-11,5.133378301728585e-12
Hilbert,Gauss,3,1,2.220446049250313e-16,1.7609551143107597e-14
Hilbert,Seidel,3,941,2.9581199196339025e-11,6.939641669519559e-09
Hilbert,Gauss,4,1,0.0,1.531093756529614e-13
Hilbert,Seidel,4,10000,1.2719790958257287e-09,9.903735626126496e-06
Hilbert,Gauss,5,1,2.220446049250313e-16,3.0608585660498125e-11
Hilbert,Seidel,5,10000,1.140478741357386e-07,0.028254512200208304
Hilbert,Gauss,6,1,1.5700924586837752e-16,7.258147920984413e-10
Hilbert,Seidel,6,10000,3.380946726021636e-07,0.02073720936153284
Hilbert,Gauss,7,1,1.1102230246251565e-16,1.8075198854641644e-08
Hilbert,Seidel,7,10000,2.2101621569937566e-07,0.020487009269189543
Hilbert,Gauss,8,1,0.0,8.023442235798661e-07
Hilbert,Seidel,8,10000,5.443130055759177e-08,0.03232382186687323
Hilbert,Gauss,9,1,4.710277376051325e-16,2.268008558115055e-05
Hilbert,Seidel,9,10000,1.505262409786767e-07,0.04065095117638622
Hilbert,Gauss,10,1,6.933340566559918e-16,0.000975841638153908
Hilbert,Seidel,10,10000,3.0029529546643017e-07,0.04358236611879375
Hilbert,Gauss,11,1,4.2998752849492583e-16,0.004344110721989929
Hilbert,Seidel,11,10000,4.6272140671461403e-07,0.04139647923961732
Hilbert,Gauss,12,1,4.710277376051325e-16,0.7149221231696415
Hilbert,Seidel,12,10000,5.851859986583324e-07,0.03693233024393297
Hilbert,Gauss,13,1,6.280369834735101e-16,10.807097172818137
Hilbert,Seidel,13,10000,6.244081478172385e-07,0.034875692004230775
Hilbert,Gauss,14,1,5.551115123125783e-16,2.258333019777664
Hilbert,Seidel,14,10000,5.708524392615573e-07,0.038130485834961036
Hilbert,Gauss,15,1,6.661338147750939e-16,21.406484723230907
Hilbert,Seidel,15,10000,4.492194689629514e-07,0.04498193611467747
Hilbert,Gauss,16,1,4.66161482198069e-15,122.76118904764037
Hilbert,Seidel,16,10000,3.0631005257694344e-07,0.052454707435479676
Hilbert,Gauss,17,1,6.280369834735101e-16,13.843808375329928
Hilbert,Seidel,17,10000,2.1433511894781142e-07,0.05888504109760943
Hilbert,Gauss,18,1,4.334137781101951e-15,143.53672777704955
Hilbert,Seidel,18,10000,2.5181214558150604e-07,0.06368114823266413
Hilbert,Gauss,19,1,1.1801832636420706e-15,43.82211297546329
Hilbert,Seidel,19,10000,3.663815613194171e-07,0.06675050281863948
Hilbert,Gauss,20,1,1.4087150935148696e-15,79.03233711694408
Hilbert,Seidel,20,10000,4.958716526892491e-07,0.06820584607853826
Hilbert,Gauss,21,1,1.870981097424087e-15,76.92993290376533
Hilbert,Seidel,21,10000,6.238345961596251e-07,0.06826008231771065
Hilbert,Gauss,22,1,1.2609709600486848e-15,111.09221730178432
Hilbert,Seidel,22,10000,7.452922566315196e-07,0.06720319235704214
Hilbert,Gauss,23,1,3.102671145001539e-15,83.06772579062631
Hilbert,Seidel,23,10000,8.565306779518946e-07,0.06540270307412484
Hilbert,Gauss,24,1,2.0014830212433605e-15,46.30839942397418
Hilbert,Seidel,24,10000,9.535088422733008e-07,0.0632998757713618
Hilbert,Gauss,25,1,3.653629104128771e-15,104.67452567359534
Hilbert,Seidel,25,10000,1.0321708347019556e-06,0.06138615392179808
Hilbert,Gauss,26,1,4.3027409135812045e-15,288.6634133162324
Hilbert,Seidel,26,10000,1.0890468787776113e-06,0.060148591322342806
Hilbert,Gauss,27,1,9.603910461506708e-15,348.8905488984774
Hilbert,Seidel,27,10000,1.121725596998673e-06,0.059983750694386606
Hilbert,Gauss,28,1,1.1319375748697188e-14,266.539512571642
Hilbert,Seidel,28,10000,1.1291191191684864e-06,0.06110685094673541
Hilbert,Gauss,29,1,7.443463752859418e-15,148.7295304627678
Hilbert,Seidel,29,10000,1.1115466091088461e-06,0.06350729014767016
Hilbert,Gauss,30,1,3.4826335462941055e-15,193.68618125395687
Hilbert,Seidel,30,10000,1.070692515432992e-06,0.06698186162890511
Hilbert,Gauss,31,1,3.844322569874944e-15,137.47646526757663
Hilbert,Seidel,31,10000,1.0095056858118006e-06,0.07122095518589722
Hilbert,Gauss,32,1,8.258298277895107e-15,176.22721232888688
Hilbert,Seidel,32,10000,9.321133678574096e-07,0.07589500323443218
Hilbert,Gauss,33,1,2.1413206232596582e-15,166.7231866476558
Hilbert,Seidel,33,10000,8.438370831614917e-07,0.08070946498720687
Hilbert,Gauss,34,1,5.864248041051681e-15,490.00268926936667
Hilbert,Seidel,34,10000,7.514114644812791e-07,0.08542746049651967
Hilbert,Gauss,35,1,6.596257219332524e-15,386.79925829128916
Hilbert,Seidel,35,10000,6.634729936043873e-07,0.08987217939079882
Hilbert,Gauss,36,1,3.233377939748715e-13,8453.561697922027
Hilbert,Seidel,36,10000,5.910915064920712e-07,0.09392015221910643
Hilbert,Gauss,37,1,1.4992122205670816e-14,603.972217997437
Hilbert,Seidel,37,10000,5.471159162514848e-07,0.09749183529495108
Hilbert,Gauss,38,1,2.5267758967901533e-14,655.1386397979325
Hilbert,Seidel,38,10000,5.420453130401876e-07,0.10054243944955
Hilbert,Gauss,39,1,2.0297658330539448e-14,586.1713880328731
Hilbert,Seidel,39,10000,5.776240933411051e-07,0.10305404887013825
Hilbert,Gauss,40,1,1.137802575659567e-14,242.9273075233661
Hilbert,Seidel,40,10000,6.459921030061333e-07,0.10502924150961201
